"","MOLECULE_NAM","SMILES","STRUCTURE"
"32","TRIAMCINOLONE","CC(=O)OCC(=O)[C@@]1(O)[C@@H](CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C)OC(=O)C","http://data.lincscloud.org/pert_images/BRD-A30717181.png"
"33","YOHIMBINE","COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC12","http://data.lincscloud.org/pert_images/BRD-A51410489.png"
"34","ASCORBICACID","CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@@H]1OC(=O)C(=O)C1O","http://data.lincscloud.org/pert_images/BRD-A79237180.png"
"35","AXITINIB","CNC(=O)c1ccccc1Sc2ccc3c(/C=C/c4ccccn4)n[nH]c3c2","http://data.lincscloud.org/pert_images/BRD-K29905972.png"
"36","BORTEZOMIB","CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)C1=CNC=CN1)B(O)O","http://data.lincscloud.org/pert_images/BRD-K50691590.png"
"37","CISPLATIN","Cl[Pt]Cl","http://data.lincscloud.org/pert_images/BRD-K01228321.png"
"38","LAPATINIB","C.CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1","http://data.lincscloud.org/pert_images/BRD-M07438658.png"
"39","LESTAURTINIB","C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4C(=O)NCc4c4c5ccccc5n2c4c13","http://data.lincscloud.org/pert_images/BRD-K23192422.png"
"40","PD184352","Fc1ccc(C(=O)NOCC2CC2)c(Nc3ccc(I)cc3Cl)c1F","http://data.lincscloud.org/pert_images/BRD-K05104363.png"
"41","PMSF","FS(=O)(=O)Cc1ccccc1","http://data.lincscloud.org/pert_images/BRD-K33422401.png"
"42","PURPUROGALLIN","Oc1cc2cccc(O)c(=O)c2c(O)c1O","http://data.lincscloud.org/pert_images/BRD-K31023358.png"
"43","BISBENZIMIDE","CCOc1ccc(cc1)c2nc3cc(ccc3[nH]2)c4nc5cc(ccc5[nH]4)N6CCN(C)CC6","http://data.lincscloud.org/pert_images/BRD-K08554278.png"
"44","CHLORAMBUCIL","OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl","http://data.lincscloud.org/pert_images/BRD-K29458283.png"
"45","CLOFAZIMINE","CC(C)/N=c/1\cc2n(c3ccc(Cl)cc3)c4ccccc4nc2cc1Nc5ccc(Cl)cc5","http://data.lincscloud.org/pert_images/BRD-K56614220.png"
"46","CLOTRIMAZOLE","Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4","http://data.lincscloud.org/pert_images/BRD-K15916496.png"
"47","CYCLOPHOSPHAMIDE","ClCCN(CCCl)P1(=O)NCCCO1","http://data.lincscloud.org/pert_images/BRD-A09722536.png"
"48","IDEBENONE","COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O","http://data.lincscloud.org/pert_images/BRD-K37516142.png"
"49","CLADRIBINE","Nc1nc(Cl)nc2n(cnc12)[C@H]3C[C@H](O)[C@@H](CO)O3","http://data.lincscloud.org/pert_images/BRD-K93034159.png"
"50","LOVASTATIN","CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12","http://data.lincscloud.org/pert_images/BRD-K09416995.png"
"51","FLUPHENAZINE","FC(F)(F)c1ccc2Sc3ccccc3N(CCCN4CCN(CCCl)CC4)c2c1","http://data.lincscloud.org/pert_images/BRD-K53987533.png"
"52","CLOFARABINE","Nc1nc(Cl)nc2n(cnc12)C3OC(CO)C(O)C3F","http://data.lincscloud.org/pert_images/BRD-A82371568.png"
"53","CYCLOPAMINE","C[C@@H]1[C@@H]2NC[C@@H](C)C[C@H]2O[C@@]31CC[C@H]4[C@@H]5CC=C6C[C@@H](O)CC[C@]6(C)[C@H]5CC4=C3C","http://data.lincscloud.org/pert_images/BRD-K58938839.png"
"54","THAPSIGARGIN","CCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)/C(=C\C)/C)C(=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@H](C[C@](C)(OC(=O)C)[C@@H]12)OC(=O)CCC)C","http://data.lincscloud.org/pert_images/BRD-K69023402.png"
"55","TAMOXIFEN","CCC(=C(c1ccccc1)c2ccc(OCCN(C)C)cc2)c3ccccc3","http://data.lincscloud.org/pert_images/BRD-K43744935.png"
"56","SIMVASTATIN","CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12","http://data.lincscloud.org/pert_images/BRD-A81772229.png"
"57","CAFFEICACID","Oc1ccc(C=CC(=O)OCCc2ccccc2)cc1O","http://data.lincscloud.org/pert_images/BRD-K84709232.png"
"58","FENRETINIDE","CC(=CC=CC(=CC(=O)Nc1ccc(O)cc1)C)C=CC2=C(C)CCCC2(C)C","http://data.lincscloud.org/pert_images/BRD-K28168037.png"
"59","CALYCANTHINE","CN1CC[C@]23[C@@H]4Nc5ccccc5[C@]3(CCN4C)[C@@H]1Nc6ccccc62","http://data.lincscloud.org/pert_images/BRD-K59851896.png"
"60","BERBAMINE","COc1cc2CCN(C)[C@@H]3Cc4ccc(OC(=O)c5ccc(cc5)[N+](=O)[O-])c(Oc6ccc(C[C@@H]7N(C)CCc8cc(OC)c(Oc(c1OC)c32)cc78)cc6)c4","http://data.lincscloud.org/pert_images/BRD-K50464341.png"
"61","RYANODINE","CC(C)[C@]1(O)[C@@H](OC(=O)c2ccc[nH]2)[C@]3(O)[C@]4(O)[C@]1(C)[C@]5(O)C[C@@]3(C)[C@@]6(O)CC[C@H](C)[C@@H](O)[C@]46O5","http://data.lincscloud.org/pert_images/BRD-K69556541.png"
"62","SOLANINE","C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@H](CC[C@]5(C)[C@H]4CC[C@]23C)O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)N9C[C@@H](C)CC[C@H]19","http://data.lincscloud.org/pert_images/BRD-K70881766.png"
"63","FORSKOLIN","CN1CCN(CCCC(=O)O[C@H]2[C@@H](O)[C@H]3C(C)(C)CC[C@H](O)[C@]3(C)[C@@]4(O)C(=O)C[C@@](C)(O[C@]24C)C=C)CC1","http://data.lincscloud.org/pert_images/BRD-K03015355.png"
"64","CYCLOPIAZONICACID","CC(=O)C1C(=O)C2C3C(Cc4cccc5[nH]cc3c45)C(C)(C)N2C1=O","http://data.lincscloud.org/pert_images/BRD-A26787626.png"
"65","VEMURAFENIB","CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F","http://data.lincscloud.org/pert_images/BRD-K56343971.png"
"66","ETOPOSIDE","COc1cc(cc(OC)c1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2O)C2C1=CC1=C2OCO1","http://data.lincscloud.org/pert_images/BRD-A02579693.png"
"67","FLUOROMETHOLONE","C[C@H]1CC2C3CC[C@](O)(C(=O)C)[C@@]3(C)C[C@H](O)[C@]2(F)C4(C)C=CC(=O)C=C14","http://data.lincscloud.org/pert_images/BRD-A13133631.png"
"68","GEDUNIN","CC1(C)C=CC(=O)[C@@]2(C)C1CC(=O)[C@]3(C)C2CC[C@@]4(C)[C@@H](OC(=O)C5OC543)c6ccoc6","http://data.lincscloud.org/pert_images/BRD-A17819071.png"
"69","EMODIN","Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1","http://data.lincscloud.org/pert_images/BRD-K58685305.png"
"70","OLIGOMYCINA","CCC1CCC2OC3(CC[C@@H](C)C(C[C@H](C)O)O3)[C@H](C)C(OC(=O)\C=C\[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@](C)(O)[C@H](O)[C@@H](C)C\C=C\C=C\1)[C@H]2C","http://data.lincscloud.org/pert_images/BRD-A81541225.png"
"71","HEXAMETHYLENEBISACETAMIDE","CC(=O)NCCCCCCNC(=O)C","http://data.lincscloud.org/pert_images/BRD-K04710043.png"
"72","GEMCITABINE","Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1","http://data.lincscloud.org/pert_images/BRD-K15108141.png"
"73","METHYLENEBLUE","CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C","http://data.lincscloud.org/pert_images/BRD-K16406336.png"
"74","CYTOCHALASINB","C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C\[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C","http://data.lincscloud.org/pert_images/BRD-K26664453.png"
"75","PEMETREXED","Nc1nc2[nH]cc(CCc3ccc(cc3)C(=O)N[C@H](CCC(O)=O)C(O)=O)c2c(=O)[nH]1","http://data.lincscloud.org/pert_images/BRD-K55395145.png"
"76","PHENETHYLISOTHIOCYANATE","S=C=NCCc1ccccc1","http://data.lincscloud.org/pert_images/BRD-K56700933.png"
"77","ACETYLCYSTEINE","CC(=O)N[C@@H](CS)C(=O)O","http://data.lincscloud.org/pert_images/BRD-K59058747.png"
"78","HOMOHARRINGTONINE","COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN5CCC[C@]25C=C1OC","http://data.lincscloud.org/pert_images/BRD-K76674262.png"
"79","VORINOSTAT","ONC(=O)CCCCCCC(=O)Nc1ccccc1","http://data.lincscloud.org/pert_images/BRD-K81418486.png"
"80","ALVOCIDIB","CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl","http://data.lincscloud.org/pert_images/BRD-K87909389.png"
"81","WITHAFERINA","C[C@@H]([C@H]1CC[C@H]2[C@@H]3C[C@H]4O[C@]45[C@@H](O)C=CC(=O)[C@]5(C)[C@H]3CC[C@]12C)[C@H]6CC(=C(CO)C(=O)O6)C","http://data.lincscloud.org/pert_images/BRD-K88378636.png"
"82","DOXORUBICIN","COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO","http://data.lincscloud.org/pert_images/BRD-K92093830.png"
"83","NITAZOXANIDE","CC(=O)Oc1ccccc1C(=O)Nc2ncc(s2)[N+](=O)[O-]","http://data.lincscloud.org/pert_images/BRD-K96471533.png"
"84","PACLITAXEL","CC(=O)OC1C2=C(C)C(CC(O)(C(OC(=O)c3ccccc3)C4C5(COC5CC(O)C4(C)C1=O)OC(=O)C)C2(C)C)OC(=O)C(O)C(NC(=O)c6ccccc6)c7ccccc7","http://data.lincscloud.org/pert_images/BRD-A23723433.png"
"85","CELASTROL","CC1C(=O)C(=O)C=C2C1=CC=C3[C@@]2(C)CCC4(C)[C@@H]5C[C@@](C)(CC[C@]5(C)CC[C@]34C)C(=O)O","http://data.lincscloud.org/pert_images/BRD-A24396574.png"
"86","GITOXIGENIN","C[C@@]12CCC3C(CC[C@@H]4C[C@@H](O)CC[C@@]43C)[C@@]2(O)C[C@H](O)[C@@H]1C5=CC(=O)OC5","http://data.lincscloud.org/pert_images/BRD-A29082194.png"
"87","CAMPTOTHECIN","CCC1(O)C(=O)OCc2c1cc3-c4nc5ccccc5cc4Cn3c2=O","http://data.lincscloud.org/pert_images/BRD-A30437061.png"
"88","IBRUTINIB","Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)C1CCCN(C1)C(=O)C=C","http://data.lincscloud.org/pert_images/BRD-A35869383.png"
"89","RADICICOL","CC1CC2OC2\C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1","http://data.lincscloud.org/pert_images/BRD-A39996500.png"
"90","OUABAIN","CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(CCC5(O)C4CCC3(O)C2)C6=CC(=O)OC6)C(O)C(O)C1O","http://data.lincscloud.org/pert_images/BRD-A46747628.png"
"91","TREMULACIN","OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C3(O)C=CCCC3=O)[C@H](OC(=O)c4ccccc4)[C@@H](O)[C@@H]1O","http://data.lincscloud.org/pert_images/BRD-A61856038.png"
"92","TEMSIROLIMUS","COC1CC(CC(C)C2CC(=O)C(C)\C=C(C)\C(O)C(OC)C(=O)C(C)CC(C)\C=C\C=C\C=C(C)\C(CC3CCC(C)C(O)(O3)C(=O)C(=O)N3CCCCC3C(=O)O2)OC)CCC1OC(=O)C(C)(CO)CO","http://data.lincscloud.org/pert_images/BRD-A62025033.png"
"93","VINCRISTINE","CCC1(O)CC2CN(C1)CCc3c([nH]c4ccccc34)C(C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)C7C86CCN9CC=CC(CC)(C98)C(C(=O)OC)C7(O)C(=O)OC","http://data.lincscloud.org/pert_images/BRD-A76528577.png"
"94","CLIOQUINOL","Oc1c(I)cc(Cl)c2cccnc12","http://data.lincscloud.org/pert_images/BRD-K09255212.png"
"95","TRAMETINIB","CC(=O)Nc1cccc(c1)-n1c2c(C)c(=O)n(C)c(Nc3ccc(I)cc3F)c2c(=O)n(C2CC2)c1=O","http://data.lincscloud.org/pert_images/BRD-K12343256.png"
"96","MELPHALAN","NC(Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O","http://data.lincscloud.org/pert_images/BRD-A08200164.png"
"97","WORTMANNIN","COC[C@H]1OC(=O)c2coc3C(=O)C4=C([C@@H](C[C@@]5(C)C4CCC5=O)OC(=O)C)[C@]1(C)c23","http://data.lincscloud.org/pert_images/BRD-A11678676.png"
"98","TRICIRIBINE","Cn1nc(N)c2cn([C@@H]3O[C@H](CO)C(O)[C@@H]3O)c3ncnc1c23","http://data.lincscloud.org/pert_images/BRD-A11706664.png"
"99","TENIPOSIDE","COc1cc(cc(OC)c1O)[C@H]2[C@@H]3C(COC3=O)C(O[C@@H]4O[C@@H]5CO[C@H](OC5[C@H](O)[C@H]4O)c6cccs6)c7cc8OCOc8cc27","http://data.lincscloud.org/pert_images/BRD-A35588707.png"
"100","VINBLASTINE","CC[C@]1(O)CC2CN(C1)CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@@H]7[C@@]86CCN9CC=C[C@](CC)([C@H]98)[C@@H](OC(=O)C)[C@]7(O)C(=O)OC","http://data.lincscloud.org/pert_images/BRD-A55594068.png"
"101","AFATINIB","CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1","http://data.lincscloud.org/pert_images/BRD-A58767537.png"
"102","TANESPIMYCIN","COC1CC(C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O","http://data.lincscloud.org/pert_images/BRD-A61304759.png"
"103","DAUNORUBICIN","COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)C","http://data.lincscloud.org/pert_images/BRD-A68009927.png"
"104","IDARUBICIN","CC1OC(CC(N)C1O)O[C@H]1C[C@@](O)(Cc2c(O)c3C(=O)c4ccccc4C(=O)c3c(O)c12)C(C)=O","http://data.lincscloud.org/pert_images/BRD-A71390734.png"
"105","DIGOXIN","C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@@H]2[C@@H](C)O[C@H](C[C@@H]2O)O[C@@H]3[C@@H](C)O[C@H](C[C@@H]3O)O[C@H]4CC[C@@]5(C)[C@H](CCC6C5C[C@@H](O)[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4","http://data.lincscloud.org/pert_images/BRD-A94756469.png"
"106","PIMOZIDE","Fc1ccc(cc1)C(CCCN2CCC(CC2)n3c(=O)[nH]c4ccccc34)c5ccc(F)cc5","http://data.lincscloud.org/pert_images/BRD-K01292756.png"
"107","PYRAZOLANTHRONE","O=C1c2ccccc2-c3n[nH]c4cccc1c34","http://data.lincscloud.org/pert_images/BRD-K01567962.png"
"108","EMETINE","N[C@@H](CCl)C(=O)O","http://data.lincscloud.org/pert_images/BRD-K01976263.png"
"109","OLAPARIB","Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1","http://data.lincscloud.org/pert_images/BRD-K02113016.png"
"110","RAZOXANE","C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1","http://data.lincscloud.org/pert_images/BRD-K07265709.png"
"111","IRINOTECAN","CCc1c2Cn3c(cc4c(COC(=O)[C@]4(O)CC)c3=O)-c2nc5ccc(OC(=O)N6CCC(CC6)N7CCCCC7)cc15","http://data.lincscloud.org/pert_images/BRD-K08547377.png"
"112","THIOTEPA","S=P(N1CC1)(N2CC2)N3CC3","http://data.lincscloud.org/pert_images/BRD-K09631521.png"
"113","DABRAFENIB","CC(C)(C)c1nc(c(s1)-c1ccnc(N)n1)-c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1F","http://data.lincscloud.org/pert_images/BRD-K09951645.png"
"114","VINORELBINE","CCC1=C[C@@H]2C[N@](C1)Cc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C)[C@@H]1[C@]22CCN3CC=C[C@@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC","http://data.lincscloud.org/pert_images/BRD-K10916986.png"
"115","EVEROLIMUS","CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO","http://data.lincscloud.org/pert_images/BRD-K13514097.png"
"116","CINCHONINE","O[C@@H]([C@H]1C[C@@H]2CC[N@]1C[C@@H]2C=C)c1ccnc2ccccc12","http://data.lincscloud.org/pert_images/BRD-K14693417.png"
"117","LOBENDAZOLE","CCOC(=O)Nc1nc2ccccc2[nH]1","http://data.lincscloud.org/pert_images/BRD-K15834839.png"
"118","BELINOSTAT","ONC(=O)/C=C/c1cccc(c1)S(=O)(=O)Nc2ccccc2","http://data.lincscloud.org/pert_images/BRD-K17743125.png"
"119","FOSTAMATINIB","COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC","http://data.lincscloud.org/pert_images/BRD-K20285085.png"
"120","MITOXANTRONE","OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12","http://data.lincscloud.org/pert_images/BRD-K21680192.png"
"121","FLUOROURACIL","Fc1c[nH]c(=O)[nH]c1=O","http://data.lincscloud.org/pert_images/BRD-K24844714.png"
"122","IMIQUIMOD","CC(C)Cn1cnc2c(N)nc3ccccc3c12","http://data.lincscloud.org/pert_images/BRD-K26657438.png"
"123","PIPAMPERONE","NC(=O)C1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)N1CCCCC1","http://data.lincscloud.org/pert_images/BRD-K26801045.png"
"124","LY294002","O=c1cc(oc2c(cccc12)c3ccccc3)N4CCOCC4","http://data.lincscloud.org/pert_images/BRD-K27305650.png"
"125","HYPERICIN","Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65","http://data.lincscloud.org/pert_images/BRD-K29673530.png"
"126","CHELIDONINE","CN1Cc2c3OCOc3ccc2[C@H]4[C@@H](O)Cc5cc6OCOc6cc5[C@H]41","http://data.lincscloud.org/pert_images/BRD-K32828673.png"
"127","AG957","COC(=O)c1ccc(NCc2cc(O)ccc2O)cc1","http://data.lincscloud.org/pert_images/BRD-K36737713.png"
"128","KENPAULLONE","Brc1ccc2[nH]c-3c(CC(=O)Nc4ccccc34)c2c1","http://data.lincscloud.org/pert_images/BRD-K37312348.png"
"129","PONATINIB","CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc3cnc4cccnn34)cc2C(F)(F)F)CC1","http://data.lincscloud.org/pert_images/BRD-K44227013.png"
"130","DASATINIB","Cc1cccc(Cl)c1NC(=O)c2cnc(Nc3cc(nc(C)n3)N4CCN(CCO)CC4)s2","http://data.lincscloud.org/pert_images/BRD-K49328571.png"
"131","AMONAFIDE","CN(C)CCN1C(=O)c2cccc3cc(N)cc(C1=O)c23","http://data.lincscloud.org/pert_images/BRD-K56334280.png"
"132","SELUMETINIB","Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO","http://data.lincscloud.org/pert_images/BRD-K57080016.png"
"133","PD98059","COc1cccc(c1N)c2cc(=O)c3ccccc3o2","http://data.lincscloud.org/pert_images/BRD-K62810658.png"
"134","GEFITINIB","COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4","http://data.lincscloud.org/pert_images/BRD-K64052750.png"
